"","STATEFP","COUNTYFP","COUNTYNS","GEOID","NAME","NAMELSAD","LSAD","CLASSFP","MTFCC","CSAFP","CBSAFP","METDIVFP","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON"
"1","06","019","00277274","06019","Fresno","Fresno County","06","H1","G4020","260","23420",NA,"A",15433278958,135402551,"+36.7610058","-119.6550193"
"2","42","081","01213677","42081","Lycoming","Lycoming County","06","H1","G4020","558","48700",NA,"A",3182060991,39457017,"+41.3436196","-077.0552254"
"3","36","069","00974133","36069","Ontario","Ontario County","06","H1","G4020","464","40380",NA,"A",1668118116,47817330,"+42.8563575","-077.3034968"
"4","53","007","01531932","53007","Chelan","Chelan County","06","H1","G4020",NA,"48300",NA,"A",7564215806,189987285,"+47.8609739","-120.6190410"
"5","37","157","01008582","37157","Rockingham","Rockingham County","06","H1","G4020","268","24660",NA,"A",1464773685,18526383,"+36.3818062","-079.7827539"
"6","06","037","00277283","06037","Los Angeles","Los Angeles County","06","H1","G4020","348","31080","31084","A",10510433235,1794939537,"+34.1963983","-118.2618616"
"7","06","019","00277274","06019","Fresno","Fresno County","06","H1","G4020","260","23420",NA,"A",15433278958,135402551,"+36.7610058","-119.6550193"
"8","04","007","00040471","04007","Gila","Gila County","06","H1","G4020",NA,"37740",NA,"A",12323041468,97111975,"+33.7896177","-110.8118696"
"9","51","029","01501502","51029","Buckingham","Buckingham County","06","H1","G4020",NA,"16820",NA,"A",1501303548,10099804,"+37.5739280","-078.5291687"
"10","12","105","00295747","12105","Polk","Polk County","06","H1","G4020",NA,"29460",NA,"A",4653250695,553800050,"+27.9531147","-081.6927831"
"11","24","003","01710958","24003","Anne Arundel","Anne Arundel County","06","H1","G4020","548","12580",NA,"A",1074549020,447837723,"+38.9935793","-076.5604840"
"12","06","037","00277283","06037","Los Angeles","Los Angeles County","06","H1","G4020","348","31080","31084","A",10510433235,1794939537,"+34.1963983","-118.2618616"
