"","lat","long","accuracy","formatted_address","address_type","status","index"
"1",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",1
"2",41.2033216,-77.1945247,"administrative_area_level_1","Pennsylvania, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",2
"3",42.8466914,-77.0794705,"administrative_area_level_3","Seneca, NY, USA","administrative_area_level_3,political","OK",3
"4",47.7510741,-120.7401386,"administrative_area_level_1","Washington, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",4
"5",36.4123597,-79.9669857,"locality","Mayodan, NC 27027, USA","locality,political","OK",5
"6",34.0259216,-118.7797571,"locality","Malibu, CA, USA","locality,political","OK",6
"7",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",7
"8",34.0489281,-111.0937311,"administrative_area_level_1","Arizona, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",8
"9",NA,NA,NA,NA,NA,"ZERO_RESULTS",9
"10",37.4315734,-78.6568942,"administrative_area_level_1","Virginia, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",10
"11",27.6648274,-81.5157535,"administrative_area_level_1","Florida, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",11
"12",39.0457549,-76.6412712,"administrative_area_level_1","Maryland, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",12
"13",33.8358492,-118.3406288,"locality","Torrance, CA, USA","locality,political","OK",13
"14",36.778261,-119.4179324,"administrative_area_level_1","California, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",14
"15",43.8041334,-120.5542012,"administrative_area_level_1","Oregon, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",15
"16",40.0583238,-74.4056612,"administrative_area_level_1","New Jersey, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",16
"17",41.2033216,-77.1945247,"administrative_area_level_1","Pennsylvania, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",17
"18",40.7127837,-74.0059413,"locality","New York, NY, USA","locality,political","OK",18
"19",34.5199402,-105.8700901,"administrative_area_level_1","New Mexico, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",19
"20",41.5800945,-71.4774291,"administrative_area_level_1","Rhode Island, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",20
"21",46.729553,-94.6858998,"administrative_area_level_1","Minnesota, USA","administrative_area_level_1,establishment,point_of_interest,political","OK",21
