"","STNAME","pappy"
"1","Alabama",4858979
"2","Alabama",55347
"3","Alabama",203709
"4","Alabama",26489
"5","Alabama",22583
"6","Alabama",57673
"7","Alabama",10696
"8","Alabama",20154
"9","Alabama",115620
"10","Alabama",34123
"11","Alabama",25859
"12","Alabama",43943
"13","Alabama",13170
"14","Alabama",24675
"15","Alabama",13555
"16","Alabama",15018
"17","Alabama",51211
"18","Alabama",54354
"19","Alabama",12672
"20","Alabama",10724
"21","Alabama",37835
"22","Alabama",13963
"23","Alabama",82005
"24","Alabama",49565
"25","Alabama",41131
"26","Alabama",71130
"27","Alabama",81468
"28","Alabama",37789
"29","Alabama",103057
"30","Alabama",16759
"31","Alabama",31696
"32","Alabama",26777
"33","Alabama",8479
"34","Alabama",15068
"35","Alabama",17221
"36","Alabama",104173
"37","Alabama",52419
"38","Alabama",660367
"39","Alabama",13886
"40","Alabama",92596
"41","Alabama",33115
"42","Alabama",156993
"43","Alabama",91663
"44","Alabama",10458
"45","Alabama",19105
"46","Alabama",353089
"47","Alabama",20028
"48","Alabama",30168
"49","Alabama",94725
"50","Alabama",415395
"51","Alabama",21673
"52","Alabama",226519
"53","Alabama",119565
"54","Alabama",9652
"55","Alabama",20864
"56","Alabama",33046
"57","Alabama",22696
"58","Alabama",59660
"59","Alabama",87074
"60","Alabama",208713
"61","Alabama",13103
"62","Alabama",80862
"63","Alabama",40844
"64","Alabama",203976
"65","Alabama",65294
"66","Alabama",16804
"67","Alabama",11059
"68","Alabama",23877
"69","Alaska",738432
"70","Alaska",3341
"71","Alaska",5702
"72","Alaska",298695
"73","Alaska",17946
"74","Alaska",892
"75","Alaska",1919
"76","Alaska",4997
"77","Alaska",99631
"78","Alaska",2534
"79","Alaska",2133
"80","Alaska",32756
"81","Alaska",58059
"82","Alaska",13709
"83","Alaska",13889
"84","Alaska",8119
"85","Alaska",1563
"86","Alaska",101095
"87","Alaska",9846
"88","Alaska",9687
"89","Alaska",7752
"90","Alaska",3177
"91","Alaska",6341
"92","Alaska",8863
"93","Alaska",1057
"94","Alaska",6839
"95","Alaska",9362
"96","Alaska",2382
"97","Alaska",613
"98","Alaska",5533
"99","Arizona",6828065
"100","Arizona",71474
"101","Arizona",126427
"102","Arizona",139097
"103","Arizona",53159
"104","Arizona",37666
"105","Arizona",9529
"106","Arizona",20152
"107","Arizona",4167947
"108","Arizona",204737
"109","Arizona",108277
"110","Arizona",1010025
"111","Arizona",406584
"112","Arizona",46461
"113","Arizona",222255
"114","Arizona",204275
"115","Arkansas",2978204
"116","Arkansas",18433
"117","Arkansas",20838
"118","Arkansas",41053
"119","Arkansas",249672
"120","Arkansas",37222
"121","Arkansas",11094
"122","Arkansas",5229
"123","Arkansas",27704
"124","Arkansas",11027
"125","Arkansas",22633
"126","Arkansas",15109
"127","Arkansas",25467
"128","Arkansas",8311
"129","Arkansas",24114
"130","Arkansas",21019
"131","Arkansas",104354
"132","Arkansas",61703
"133","Arkansas",48963
"134","Arkansas",17284
"135","Arkansas",7604
"136","Arkansas",11965
"137","Arkansas",18778
"138","Arkansas",121552
"139","Arkansas",17702
"140","Arkansas",12204
"141","Arkansas",97177
"142","Arkansas",18102
"143","Arkansas",44196
"144","Arkansas",22084
"145","Arkansas",33426
"146","Arkansas",13300
"147","Arkansas",37052
"148","Arkansas",13445
"149","Arkansas",17338
"150","Arkansas",71565
"151","Arkansas",26141
"152","Arkansas",6996
"153","Arkansas",16779
"154","Arkansas",9650
"155","Arkansas",13820
"156","Arkansas",12472
"157","Arkansas",21714
"158","Arkansas",71645
"159","Arkansas",15767
"160","Arkansas",16185
"161","Arkansas",43908
"162","Arkansas",43738
"163","Arkansas",7399
"164","Arkansas",8970
"165","Arkansas",8558
"166","Arkansas",7913
"167","Arkansas",24358
"168","Arkansas",10189
"169","Arkansas",19513
"170","Arkansas",10824
"171","Arkansas",24040
"172","Arkansas",20216
"173","Arkansas",63390
"174","Arkansas",8291
"175","Arkansas",392664
"176","Arkansas",17469
"177","Arkansas",26589
"178","Arkansas",117460
"179","Arkansas",10513
"180","Arkansas",7869
"181","Arkansas",127780
"182","Arkansas",17290
"183","Arkansas",16912
"184","Arkansas",12456
"185","Arkansas",40144
"186","Arkansas",16771
"187","Arkansas",225477
"188","Arkansas",79161
"189","Arkansas",6741
