"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","lon","lat"
"10thAmendment","God & Country 1st . #American #Nationalist #Traditionalist  #SavageNation #WomenForTrump Support: #Military #Veterans #Israel Founder: #TrumpsArmy #TrumpStrong",252377,30511,503,27095,NA,"Proud Patriot Beth",2009-02-22 18:53:43,FALSE,FALSE,"10thAmendment"," 57th State ","en","21587082",683,FALSE,"http://pbs.twimg.com/profile_images/765943111197528064/lDVeBFCC_normal.jpg",-78.658488,33.9063065
"Jkalfay","",13798,660,79838,106,NA,"Jan kalfayan",2011-11-03 01:10:25,FALSE,FALSE,"Jkalfay","","en","403806271",56,FALSE,"http://pbs.twimg.com/profile_images/466932899976347648/OrDVOzDO_normal.jpeg",NA,NA
"MariaErnandez3b","Special Education Teacher &(Child Advocate).Interests:ELVIS, Hollywood,Music, Politics,Travel, Working Out,#TrumpStrong #MAGA#TrumpTrain 
*NO LISTS or B Blocked",22436,996,20984,827,NA,"MariaRandisiErnandez",2016-04-10 20:19:45,FALSE,FALSE,"MariaErnandez3b","New York ","en","719258590469431296",22,FALSE,"http://pbs.twimg.com/profile_images/719353395266453505/EB1F5sq8_normal.jpg",-74.0059413,40.7127837
"RobinForney","Physical Therapist Assistant, retired cross country truck driver. I love old folks :)",1835,191,2431,520,NA,"Robin Forney",2012-10-22 14:43:13,FALSE,FALSE,"RobinForney","","en","897729498",14,FALSE,"http://pbs.twimg.com/profile_images/487024946971820032/8aUhNhI-_normal.jpeg",NA,NA
"bentleyhancroft","just an honest guy looking to make some good freinds, i enjoy life and im a happy easy going person..so if you fancy a chat get typing thats all there is too it",15420,663,18613,308,"http://t.co/RVqK5llNaO","andrew heathfield",2009-09-06 21:52:26,FALSE,FALSE,"bentleyhancroft","mid beds uk","en","72133241",36,FALSE,"http://pbs.twimg.com/profile_images/518535529667637248/l18W7CxK_normal.jpeg",-0.4651389,52.0029744
"Kennamitchem1","God family & Country mom of 6 nana to 13.#UpstateNY long line of #Military & #BluelivesMatter family #1a #2A #conservativeValues #TrumpsArmy FloridaLife",14884,2440,35122,2593,NA,"DeplorableKenna",2015-08-15 15:52:57,FALSE,FALSE,"Kennamitchem1","Belleview, FL","en","3424241421",44,FALSE,"http://pbs.twimg.com/profile_images/800685405213519872/3CpNbqTu_normal.jpg",-82.0623105,29.0552578
"NothingMan37","I walk with angels who have no place. 

Ragamuffin Sinner saved by Christ #LLAP

Never tell me the odds 

Love Everyone even the enemy",19229,727,17855,774,NA,"NotOfThisWorld38",2013-01-11 19:09:22,FALSE,FALSE,"NothingMan37","Somewhere inthe Mile High City","en","1080648902",56,FALSE,"http://pbs.twimg.com/profile_images/802397668853092352/EtQq50rT_normal.jpg",NA,NA
"AngelaTange65","",55145,987,41,1807,NA,"Bram Kletsio",2014-10-15 00:45:29,FALSE,FALSE,"AngelaTange65","","en","2856154741",190,FALSE,"http://pbs.twimg.com/profile_images/773385248092590080/7aL7sfGi_normal.jpg",NA,NA
"CJperkins48","Ì†ºÌ∑∫Ì†ºÌ∑∏TRUMP WON‚ù§MAGA
LOVE MY GOD, MY FAMILY MY DOGS. Country LIVING, BEAUTIFUL SunSets with a glass of wine. Country Music, My Guns, Hunting, and Fishing. And Ì†ºÌøà",21388,4026,12063,4874,NA,"CYNTHIA",2015-08-05 07:04:54,FALSE,FALSE,"CJperkins48","Oklahoma, USA","en","3403885420",67,FALSE,"http://pbs.twimg.com/profile_images/802748762225541120/atYwIRqv_normal.jpg",-97.092877,35.0077519
"starrbell14","My intent is to help the biased MSM do their job by SPREADING THE TRUTH              TRUMP-PENCE 2O16",19061,641,10872,526,NA,"belle starr",2016-08-29 13:20:26,FALSE,FALSE,"starrbell14","","en","770249753409916928",13,FALSE,"http://pbs.twimg.com/profile_images/770261246130032641/LFVUSVjJ_normal.jpg",NA,NA
"dance4meagain","",44636,529,27978,645,NA,"charity",2015-05-18 21:22:18,FALSE,FALSE,"dance4meagain","","en","3219771793",69,FALSE,"http://pbs.twimg.com/profile_images/759835889983823872/GjdyH4-4_normal.jpg",NA,NA
"JoeClementino","United States
Brazil
Bermuda
Azores Islands
Conservative, Soccer, Manchester United, Palmeiras, 
Somerset Cricket Club Bermuda, Samba Music & Caipirinhas.",76713,2369,19062,3009,NA,"joe clementino",2012-03-20 21:47:51,FALSE,FALSE,"JoeClementino","","en","531668387",150,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png",NA,NA
"Ats0218","",115,15,51,23,NA,"ATS",2010-06-19 13:30:53,FALSE,FALSE,"Ats0218","New York, USA","en","157314831",1,FALSE,"http://pbs.twimg.com/profile_images/802678176749146112/In0bw2vC_normal.jpg",-74.0059413,40.7127837
"TT1600PennAve","Our President/VP-elect will soon begin to bring America back from the brink of Obama's secular, Constitution-destroying nightmare regime - #MAGA",46500,3232,15386,3220,NA,"Theo T. Train",2016-03-04 00:37:15,FALSE,FALSE,"TT1600PennAve","United States","en","705552649765175297",87,FALSE,"http://pbs.twimg.com/profile_images/706642587713708032/w2Zkhgq7_normal.jpg",-95.712891,37.09024
"tksb2god1657","Christ follower ~ Proud American",979,66,1733,126,NA,"TKSB2GOD",2012-02-07 17:22:21,FALSE,FALSE,"tksb2god1657","","en","485865447",0,FALSE,"http://pbs.twimg.com/profile_images/799584287980982272/FmgapnB0_normal.jpg",NA,NA
"KyleClemens5","17
#Furry
#Redneck
#Christian
#Anime
@Ncreality fan
@DemonHunterBand fan
My YouTube channel is called XxMr.AfterlifexX",2981,2632,4344,4995,NA,"XxMr.AfterlifexX",2016-04-30 23:35:48,FALSE,FALSE,"KyleClemens5","Randleman, NC","en","726555683940917248",11,FALSE,"http://pbs.twimg.com/profile_images/800872996659412993/LNRGEZxr_normal.jpg",-79.8030873,35.8179143
"sunilrohira","",235,116,239,378,NA,"Name",2009-01-09 00:24:56,FALSE,FALSE,"sunilrohira","","en","18785821",3,FALSE,"http://pbs.twimg.com/profile_images/2604043775/lhs0c9nm2yfjqq1o9lxd_normal.jpeg",NA,NA
"PattyButts","TRUMP 2016!  NO LISTS",43576,3739,47548,4933,NA,"Patty Butts  4TRUMP",2012-03-27 02:27:36,FALSE,FALSE,"PattyButts","","en","537772034",77,FALSE,"http://pbs.twimg.com/profile_images/741044749453295616/uv9D1Un2_normal.jpg",NA,NA
"speedingisfun","MSG, U.S. Army, Retired Two tours of combat duty Vietnam. A War we the military won and politicians lost. Just as Iraq an soon Afghanistan. Trump/Pence!F Obama",59804,4865,39415,5357,NA,"Liberty Patriot",2010-12-25 13:14:27,FALSE,FALSE,"speedingisfun","Florida, USA","en","230435960",132,FALSE,"http://pbs.twimg.com/profile_images/804135210036117519/oTKQNSv8_normal.jpg",-81.5157535,27.6648274
"lizzym420","#Bluehand #PurpleRevolution #STOPSOROS #stopthesteal #WhereIsJulian? Nationalist/Christian. ProKurdistan #IStandWithIsrael. Follwd by @Harlan",52386,6595,46509,7097,NA,"Elizabeth",2013-11-03 18:03:29,FALSE,FALSE,"lizzym420","","en","2166712563",83,FALSE,"http://pbs.twimg.com/profile_images/803515410796703744/Nq5w62tq_normal.jpg",NA,NA
"rllove65","",3805,92,12469,10,"http://t.co/Op6O7unknC","Robert Lynn Love",2009-03-15 16:46:10,FALSE,FALSE,"rllove65","","en","24547872",5,FALSE,"http://pbs.twimg.com/profile_images/96898432/Bob_white_house_normal.jpg",NA,NA
"Akashik0","Fight for Conservative Americanism Vote America 1st! Freedom of speech, regardless of how offensive it is, is vital to freedom as a whole. List=Block",18620,1120,159,1577,"https://t.co/4nS5lHR6rk","@Americanism 2018",2015-10-15 01:32:50,FALSE,FALSE,"Akashik0","Ferguson, MO","en","3897626072",42,FALSE,"http://pbs.twimg.com/profile_images/785078027512262656/R5BtOr7A_normal.jpg",-90.3053915,38.7442175
"O2blikeme","Telling it like it is. One day we will look back and realize how smart we really were.",2586,159,1631,269,NA,"The Doctor",2009-07-02 05:53:55,FALSE,FALSE,"O2blikeme","Collierville, TN","en","52985961",10,FALSE,"http://pbs.twimg.com/profile_images/633052682450657280/VwP48eqw_normal.jpg",-89.6645266,35.042036
